Start Time, End Time, Time in Bed (mins), Is nap, Sleep quality, Awake duration (mins), REM sleep duration (mins), Light sleep duration (mins), Deep sleep duration (mins), Amount of audio recordings, Wake-up mood, 
Optional(2020-05-04 21:46:46 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-05 22:18:04 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-06 22:02:32 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-07 22:07:39 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-10 00:57:41 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-10 22:33:24 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-11 22:16:31 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-13 22:11:37 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-16 23:25:01 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-05-19 22:00:48 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-06 22:07:11 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-07 20:46:19 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-08 21:55:28 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-09 21:56:52 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-11 22:35:28 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-12 22:41:05 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-13 23:01:40 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-14 22:31:35 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-15 22:12:29 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-16 22:15:59 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-17 22:31:22 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-18 22:13:42 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2020-06-28 22:23:51 +0000), nil, 0, No,  0, 0, 0, 0, 0, 0, Undefined, 
Optional(2018-08-16 22:16:57 +0000), Optional(2018-08-17 05:36:42 +0000), 440, No, 56, 90, 50, 170, 130, 65, OK, 
Optional(2018-08-17 21:57:59 +0000), Optional(2018-08-18 06:31:27 +0000), 513, No, 50, 885, 90, 190, 330, 69, OK, 
Optional(2018-08-18 22:53:27 +0000), Optional(2018-08-19 07:30:35 +0000), 517, No, 72, 67, 70, 190, 190, 12, Good, 
Optional(2018-08-19 22:38:42 +0000), Optional(2018-08-20 06:00:39 +0000), 442, No, 56, 102, 30, 160, 150, 5, Undefined, 
Optional(2018-08-20 21:35:34 +0000), Optional(2018-08-21 06:00:21 +0000), 505, No, 76, 45, 70, 240, 150, 9, Good, 
Optional(2018-08-21 21:44:03 +0000), Optional(2018-08-22 06:00:56 +0000), 497, No, 60, 127, 70, 150, 150, 11, Undefined, 
Optional(2018-08-22 22:54:26 +0000), Optional(2018-08-23 06:00:20 +0000), 426, No, 66, 86, 80, 140, 120, 9, Undefined, 
Optional(2018-08-23 22:45:19 +0000), Optional(2018-08-24 06:00:25 +0000), 435, No, 66, 35, 40, 220, 140, 4, Undefined, 
Optional(2018-08-25 01:03:13 +0000), Optional(2018-08-25 07:04:57 +0000), 362, No, 70, 42, 70, 130, 120, 31, Undefined, 
Optional(2018-08-25 23:31:09 +0000), Optional(2018-08-26 06:50:33 +0000), 439, No, 68, 49, 70, 180, 140, 27, OK, 
Optional(2018-08-27 23:24:05 +0000), Optional(2018-08-28 06:41:30 +0000), 437, No, 62, 57, 40, 200, 140, 2, Undefined, 
Optional(2018-08-28 23:20:10 +0000), Optional(2018-08-29 07:00:27 +0000), 460, No, 58, 916, 150, 140, 250, 39, OK, 
